City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hawaiian paradise park,19.59,-154.97,78.31,88,75,3.44,US,1697607647
1,petropavlovsk-kamchatsky,53.05,158.65,43.45,88,100,8.95,RU,1697607583
2,aldinga beach,-35.28,138.46,84.25,34,0,3.56,AU,1697607647
3,kolonia,50.93,6.95,44.96,76,0,6.91,DE,1697607647
4,alofi,-19.06,-169.92,73.29,60,67,16.11,NU,1697607647
5,sao joao da barra,-21.64,-41.05,76.17,86,100,8.25,BR,1697607648
6,as sulayyil,20.46,45.58,80.85,13,0,8.93,SA,1697607648
7,adamstown,-25.07,-130.1,71.47,89,100,6.29,PN,1697607648
8,carutapera,-1.2,-46.02,78.17,84,100,5.64,BR,1697607648
9,igarka,67.47,86.58,33.8,98,100,20.69,RU,1697607648
10,whitehorse,60.72,-135.05,45.37,86,100,5.75,CA,1697607579
11,chingola,-12.53,27.88,66.34,75,100,6.93,ZM,1697607648
12,nagato,34.38,131.2,72.0,48,23,9.66,JP,1697607648
13,road town,18.42,-64.62,82.49,71,23,14.0,VG,1697607648
14,bilibino,68.05,166.44,4.96,100,98,2.75,RU,1697607649
15,grytviken,-54.28,-36.51,34.5,91,98,12.15,GS,1697607649
16,port-aux-francais,-49.35,70.22,36.63,80,100,18.16,TF,1697607649
17,san francisco de la paz,14.9,-86.2,66.88,94,99,3.06,HN,1697607649
18,luganville,-15.53,167.17,80.1,84,88,2.66,VU,1697607649
19,avarua,-21.21,-159.78,71.65,68,20,3.44,CK,1697607649
20,sitka,57.05,-135.33,57.09,62,100,10.36,US,1697607649
21,kodiak,57.79,-152.41,45.91,81,0,11.5,US,1697607650
22,arraial do cabo,-22.97,-42.03,73.0,94,94,4.21,BR,1697607650
23,port alfred,-33.59,26.89,65.17,90,0,3.0,ZA,1697607496
24,blackmans bay,-43.02,147.32,66.33,69,17,1.99,AU,1697607650
25,wailua homesteads,22.07,-159.38,79.23,78,75,4.61,US,1697607650
26,yokadouma,3.52,15.05,70.5,99,100,0.96,CM,1697607650
27,codrington,-38.27,141.97,62.53,59,19,8.79,AU,1697607650
28,pak phanang,8.35,100.2,93.22,67,94,4.45,TH,1697607650
29,mili,6.08,171.74,83.79,67,76,2.26,MH,1697607650
30,sittwe,20.15,92.9,85.35,62,7,3.33,MM,1697607651
31,colonia,50.93,6.95,44.96,76,0,6.91,DE,1697607480
32,waitangi,-43.95,-176.56,51.82,78,41,5.99,NZ,1697607651
33,yaren,-0.55,166.92,81.9,75,100,18.48,NR,1697607651
34,fairbanks,64.84,-147.72,33.76,90,100,3.44,US,1697607651
35,bereeda,11.87,51.06,83.14,72,17,12.33,SO,1697607651
36,santa elena de uairen,4.62,-61.13,70.09,85,62,1.72,VE,1697607651
37,ahero,-0.17,34.92,69.78,70,17,3.33,KE,1697607651
